"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"1314","Jason DeLucia","win","Manabu Yamada","Pancrase - 1999 Neo-Blood Tournament Second RoundAug / 01 / 1999","Decision (Unanimous)Kenji Kosuge","1","15:00"
"1414","Jason DeLucia","win","Chris Lytle","Pancrase - Breakthrough 7Jul / 06 / 1999","Decision (Majority)Yoshinori Umeki","1","10:00"
"1514","Jason DeLucia","win","Ikuhisa Minowa","Pancrase - Breakthrough 6Jun / 11 / 1999","Decision (Unanimous)Yoshinori Umeki","1","10:00"
"1614","Jason DeLucia","win","Ryushi Yanagisawa","Pancrase - Breakthrough 5May / 23 / 1999","Decision (Majority)Soichi Hiroto","1","15:00"
"1712","Jason DeLucia","win","Kiuma Kunioku","Pancrase - Breakthrough 1Jan / 19 / 1999","DecisionSoichi Hiroto","1","15:00"
"1812","Jason DeLucia","win","Manabu Yamada","Pancrase - Advance 12Dec / 19 / 1998","Submission (Armbar)Kenji Kosuge","1","1:13"
"1912","Jason DeLucia","loss","Keiichiro Yamamiya","Pancrase - Advance 10Oct / 26 / 1998","Decision (Lost Points)Soichi Hiroto","1","15:00"
"2010","Jason DeLucia","win","Satoshi Hasegawa","Pancrase - 1998 Anniversary ShowSep / 14 / 1998","Decision (Majority)Kenji Kosuge","1","10:00"
"2116","Jason DeLucia","win","Satoshi Hasegawa","Pancrase - Advance 7Jun / 02 / 1998","Technical Submission (Straight Armbar)Soichi Hiroto","1","6:14"
"2212","Jason DeLucia","loss","Ryushi Yanagisawa","Pancrase - Advance 5Apr / 26 / 1998","Submission (Toe Hold)Hiromi Okamoto","1","12:44"
"2311","Jason DeLucia","win","Satoshi Hasegawa","Pancrase - Advance 3Mar / 01 / 1998","TKO (Doctor Stoppage)Kenji Kosuge","1","0:55"
"2411","Jason DeLucia","win","Takafumi Ito","Pancrase - Advance 1Jan / 16 / 1998","Decision (Points)Hiromi Okamoto","1","10:00"
"258","Jason DeLucia","win","Ikuhisa Minowa","Pancrase - Alive 11Dec / 20 / 1997","Submission (Rear-Naked Choke)Hirotoshi Okamoto","1","3:47"
"268","Jason DeLucia","loss","Yuki Kondo","Pancrase - 1997 Anniversary ShowSep / 06 / 1997","Submission (Toe Hold)Soichi Hiroto","1","27:22"
"278","Jason DeLucia","win","Kiuma Kunioku","Pancrase - Alive 6Jun / 18 / 1997","TKO (Doctor Stoppage)Soichi Hiroto","1","18:51"
"288","Jason DeLucia","win","Kazuo Takahashi","Pancrase - Alive 5May / 24 / 1997","Submission (Armbar)Kenji Kosuge","1","5:13"
"298","Jason DeLucia","win","Takafumi Ito","Pancrase - Alive 4Apr / 27 / 1997","Submission (Rear-Naked Choke)Kenji Kosuge","1","4:54"
"308","Jason DeLucia","loss","Masakatsu Funaki","Pancrase - Truth 10Dec / 15 / 1996","TKO (Leg Injury)Soichi Hiroto","1","7:49"
