"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"415","Ricco Rodriguez","win","Robert Beraun","RITC 117 - Rage in the Cage 117Nov / 08 / 2008","Decision (Unanimous)N/A","3","3:00"
"421","Ricco Rodriguez","win","Rob Broughton","CG 9 - BeatdownOct / 04 / 2008","Submission (Kneebar)N/A","2","3:39"
"431","Ricco Rodriguez","win","Titus Campbell","SCF - Silver Crown FightsAug / 08 / 2008","Submission (Guillotine Choke)N/A","2","3:06"
"441","Ricco Rodriguez","win","Johnathan Ivey","Xp3 - The Proving GroundJul / 26 / 2008","Decision (Unanimous)N/A","3","3:00"
"451","Ricco Rodriguez","win","Chris Guillen","UCE - Round 31 Finals Jun / 27 / 2008","Submission (Armbar)N/A","1","4:30"
"461","Ricco Rodriguez","loss","Travis Wiuff","YAMMA - Pit Fighting 1Apr / 11 / 2008","Decision (Unanimous)N/A","1","5:00"
"471","Ricco Rodriguez","win","George Bush","YAMMA - Pit Fighting 1Apr / 11 / 2008","Decision (Unanimous)N/A","1","5:00"
"481","Ricco Rodriguez","loss","Antonio Silva","EliteXC - Street CertifiedFeb / 16 / 2008","Decision (Split)Jorge Ortiz","3","5:00"
"491","Ricco Rodriguez","win","Kelvin Fitial","PFP - Ring of FireDec / 09 / 2007","TKO (Retirement)Mario Yamasaki","1","2:23"
"50","Ricco Rodriguez","loss","Ben Rothwell","IFL - 2007 Team Championship FinalSep / 20 / 2007","Decision (Unanimous)N/A","3","4:00"
"511","Ricco Rodriguez","win","Lloyd Marshbanks","MMAX 13 - MMA Xtreme 13Jul / 28 / 2007","TKO (Punches)Manolo Hernandez","1","3:11"
"521","Ricco Rodriguez","win","Imani Lee","BIB - Beatdown in BakersfieldNov / 17 / 2006","Submission (Rear-Naked Choke)N/A","1","2:12"
"531","Ricco Rodriguez","win","Abdias Irisson","MMAX 7 - MMA Xtreme 7Nov / 11 / 2006","TKO (Punches)N/A","1","N/A"
"541","Ricco Rodriguez","win","Ron Waterman","WFA 4 - King of the StreetsJul / 22 / 2006","TKO (Doctor Stoppage)Nelson Hamilton","1","5:00"
"551","Ricco Rodriguez","win","Taylor Brooks","MMAX 1 - MMA Xtreme 1Mar / 25 / 2006","Submission (Armbar)N/A","1","N/A"
"56","Ricco Rodriguez","loss","Robert Beraun","RITC 78 - Back with a VenganceJan / 14 / 2006","Decision (Unanimous)N/A","3","3:00"
"57","Ricco Rodriguez","win","Tyler Brooks","PFL - Pro Fight LeagueDec / 09 / 2005","Submission (Armbar)N/A","1","4:00"
"58","Ricco Rodriguez","win","David Mori","MMAFC 4 - MMA Fighting Challenge 4Dec / 03 / 2005","Decision (Unanimous)N/A","3","5:00"
"59","Ricco Rodriguez","win","Corey Salter","UTS 3 - Ultimate Texas Showdown 3Nov / 26 / 2005","Submission (Armbar)N/A","2","0:17"
"60","Ricco Rodriguez","win","Jimmy Ambriz","WEC 17 - Halloween Fury 4Oct / 14 / 2005","TKO (Submission to Punches)Herb Dean","1","4:13"
"611","Ricco Rodriguez","loss","Ron Waterman","WEC 16 - Clash of the Titans 2Aug / 18 / 2005","Decision (Unanimous)Josh Rosenthal","3","5:00"
"621","Ricco Rodriguez","win","Andy Montana","IE - Independent EventJul / 15 / 2005","Submission (Armbar)N/A","1","1:50"
"631","Ricco Rodriguez","win","Ruben Villareal","Extreme Wars - X-1Jul / 02 / 2005","Submission (Armbar)N/A","1","2:38"
"641","Ricco Rodriguez","win","Scott Junk","ROTR 7 - Rumble On The Rock 7May / 07 / 2005","Submission (Front Choke)Larry Landless","2","0:42"
"651","Ricco Rodriguez","win","Mike Seal","MMA Mexico - Day 2Dec / 18 / 2004","Submission (Rear-Naked Choke)N/A","1","1:06"
"66","Ricco Rodriguez","loss","Pedro Rizzo","UFC 45 - RevolutionNov / 21 / 2003","Decision (Unanimous)N/A","3","5:00"
"67","Ricco Rodriguez","loss","Antonio Rodrigo Nogueira","Pride FC - Total Elimination 2003Aug / 10 / 2003","Decision (Unanimous)N/A","3","5:00"
"68","Ricco Rodriguez","loss","Tim Sylvia","UFC 41 - OnslaughtFeb / 28 / 2003","TKO (Punches)N/A","1","3:09"
"69","Ricco Rodriguez","win","Randy Couture","UFC 39 - The Warriors ReturnSep / 27 / 2002","TKO (Submission to Elbow)N/A","5","3:04"
"70","Ricco Rodriguez","win","Tsuyoshi Kosaka","UFC 37 - High ImpactMay / 10 / 2002","TKO (Punches)N/A","2","3:25"
"711","Ricco Rodriguez","win","Jeff Monson","UFC 35 - ThrowdownJan / 11 / 2002","TKO (Punches)N/A","3","3:00"
"721","Ricco Rodriguez","win","Pete Williams","UFC 34 - High VoltageNov / 02 / 2001","TKO (Punches)N/A","2","4:02"
"731","Ricco Rodriguez","win","Andrei Arlovski","UFC 32 - Showdown in the MeadowlandsJun / 29 / 2001","TKO (Punches)N/A","3","1:23"
"741","Ricco Rodriguez","win","Paul Buentello","KOTC 7 - Wet and WildFeb / 24 / 2001","Submission (Kneebar)N/A","2","4:21"
"751","Ricco Rodriguez","win","John Marsh","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"76","Ricco Rodriguez","win","Takayuki Okada","Pride 10 - Return of the WarriorsAug / 27 / 2000","Submission (Smother Choke)N/A","1","6:04"
"77","Ricco Rodriguez","win","Gary Goodridge","Pride 9 - New BloodJun / 04 / 2000","Decision (Unanimous)Yuichi Watanabe","2","10:00"
"78","Ricco Rodriguez","win","Travis Fulton","KOTC 2 - Desert StormFeb / 05 / 2000","Submission (Armbar)N/A","1","4:49"
"79","Ricco Rodriguez","win","Sam Adkins","Armageddon - Armageddon 2Nov / 23 / 1999","Submission (Forearm Choke)N/A","1","4:32"
"80","Ricco Rodriguez","loss","Bobby Hoffman","SB 13 - SuperBrawl 13Sep / 07 / 1999","KO (Punches)N/A","1","3:13"
"811","Ricco Rodriguez","win","Steve Shaw","RITC 6 - Rage in the Cage 6Jul / 10 / 1999","Submission (Armbar)N/A","1","1:34"
"821","Ricco Rodriguez","win","Rocky Batastini","EC - Extreme CageMar / 25 / 1999","Submission (Armbar)N/A","1","4:58"
"831","Ricco Rodriguez","win","Scott Adams","EC - Extreme CageMar / 25 / 1999","DecisionN/A","3","4:00"
"219","John Marsh","loss","Oleg Taktarov","Bodog Fight - USA vs. RussiaNov / 30 / 2007","Submission (Kneebar)N/A","2","0:33"
"319","John Marsh","loss","Chad Griggs","IFL - HoustonFeb / 02 / 2007","TKO (Punches)N/A","3","2:32"
"416","John Marsh","win","Shane Faulkner","Extreme Wars 2 - X-1Mar / 18 / 2006","KO (Punches)N/A","3","2:51"
"512","John Marsh","loss","Mike Van Arsdale","UFC 52 - Couture vs. Liddell 2Apr / 16 / 2005","Decision (Unanimous)Steve Mazzagati","3","5:00"
"612","John Marsh","win","Wesley Correira","ROTR 5 - Rumble on the Rock 5May / 07 / 2004","Decision (Unanimous)Larry Landless","3","5:00"
"712","John Marsh","loss","Ricco Rodriguez","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"87","John Marsh","loss","Vladimir Matyushenko","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Decision (Unanimous)N/A","1","20:00"
"96","John Marsh","loss","Jeremy Horn","NG 13 - Neutral Grounds 13Nov / 20 / 1999","Decision (Unanimous)N/A","3","5:00"
"106","John Marsh","loss","Josh Barnett","SB 13 - SuperBrawl 13Sep / 07 / 1999","Submission (Kimura)N/A","1","4:23"
"115","John Marsh","win","Travis Fulton","SB 13 - SuperBrawl 13Sep / 07 / 1999","Submission (Heel Hook)N/A","2","2:48"
"125","John Marsh","win","Jack Swart","RIR - Rumble in RenoSep / 04 / 1998","Submission (Keylock)N/A","0","N/A"
"135","John Marsh","win","Keith Stewert","RIR - Rumble in RenoSep / 04 / 1998","Submission (Rear-Naked Choke)N/A","0","N/A"
"145","John Marsh","win","Adel Adel","NG 6 - Neutral Grounds 6Aug / 02 / 1998","Submission (Rear-Naked Choke)N/A","1","N/A"
"155","John Marsh","win","Paul Pumphery","EC 17 - Extreme Challenge 17Apr / 11 / 1998","TKO (Submission to Punches)N/A","1","4:22"
"165","John Marsh","win","Griffen Reynaud","EC 17 - Extreme Challenge 17Apr / 11 / 1998","TKO (Submission to Punches)N/A","1","6:22"
"220","Akira Shoji","loss","Kazuo Misaki","Deep - 53 ImpactApr / 22 / 2011","TKO (Punches)Yoshinori Umeki","2","1:13"
"320","Akira Shoji","loss","Gilbert Yvel","Pride 34 - KamikazeApr / 08 / 2007","TKO (Punches)N/A","1","3:04"
"417","Akira Shoji","win","Carlos Toyota","Deep - clubDeep Toyama: Barbarian Festival 5Nov / 19 / 2006","Decision (Majority)N/A","2","5:00"
"513","Akira Shoji","loss","Kyacey Uscola","KOTC - All StarsOct / 28 / 2006","TKO (Punches)N/A","2","2:23"
"613","Akira Shoji","win","Todd Medina","KOTC - Rapid FireAug / 04 / 2006","Decision (Unanimous)N/A","3","5:00"
"713","Akira Shoji","loss","Kazuo Misaki","Deep - 23 ImpactFeb / 05 / 2006","Technical Submission (Guillotine Choke)N/A","1","2:32"
"88","Akira Shoji","loss","Mark Weir","Cage Rage 14 - PunishmentDec / 03 / 2005","KO (Head Kick)N/A","1","0:17"
"97","Akira Shoji","loss","Dean Lister","Pride - Bushido 6Apr / 03 / 2005","Submission (Triangle Choke)N/A","1","3:13"
"107","Akira Shoji","loss","Paulo Filho","Pride - Bushido 4Jul / 19 / 2004","Decision (Split)N/A","2","5:00"
"116","Akira Shoji","win","Yukio Kawabe","Pride - Bushido 3May / 23 / 2004","TKO (Punches)N/A","1","0:18"
"126","Akira Shoji","loss","Murilo Rua","Pride FC - Shockwave 2003Dec / 31 / 2003","KO (Flying Knee)N/A","1","2:24"
"136","Akira Shoji","loss","Mauricio Rua","Pride - Bushido 1Oct / 05 / 2003","KO (Punches)N/A","1","3:47"
"146","Akira Shoji","win","Dustin Denes","AFC 4 - Absolute Fighting Championships 4Jul / 19 / 2003","Decision (Unanimous)N/A","3","5:00"
"156","Akira Shoji","win","Alex Stiebling","Pride 25 - Body BlowMar / 16 / 2003","Decision (Split)N/A","3","5:00"
"166","Akira Shoji","loss","Paulo Filho","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Submission (Armbar)N/A","1","2:48"
"175","Akira Shoji","win","Dave Roberts","KOTC 13 - RevolutionMay / 17 / 2002","Submission (Armbar)Nelson Hamilton","2","4:46"
"185","Akira Shoji","loss","Jeremy Horn","Pride 18 - Cold Fury 2Dec / 23 / 2001","Decision (Unanimous)N/A","3","5:00"
"195","Akira Shoji","loss","Semmy Schilt","Pride 16 - Beasts From The EastSep / 24 / 2001","KO (Knee and Punches)N/A","1","8:19"
"204","Akira Shoji","loss","Dan Henderson","Pride 14 - Clash of the TitansMay / 27 / 2001","TKO (Punches and Knees)N/A","3","3:18"
"2110","Akira Shoji","loss","Ricardo Almeida","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"225","Akira Shoji","win","Herman Renting","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Armbar)N/A","1","3:48"
"234","Akira Shoji","win","John Renken","Pride 9 - New BloodJun / 04 / 2000","Submission (Armbar)Yuji Shimada","1","6:44"
"244","Akira Shoji","loss","Mark Coleman","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","Decision (Unanimous)Keiji Shiozaki","1","15:00"
"254","Akira Shoji","win","Ebenezer Fontes Braga","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Akira Okabayashi","1","15:00"
"264","Akira Shoji","draw","Ryushi Yanagisawa","Pancrase - 1999 Anniversary ShowSep / 18 / 1999","DrawSoichi Hiroto","1","15:00"
"274","Akira Shoji","win","Larry Parker","Pride FC - Pride 7Sep / 12 / 1999","Decision (Unanimous)Akira Okabayashi","3","5:00"
"284","Akira Shoji","win","Guy Mezger","Pride FC - Pride 6Jul / 04 / 1999","Decision (Split)Yuji Shimada","3","5:00"
"294","Akira Shoji","loss","Igor Vovchanchyn","Pride FC - Pride 5Apr / 29 / 1999","Decision (Unanimous)Akira Okabayashi","2","10:00"
"304","Akira Shoji","win","Wallid Ismail","Pride FC - Pride 4Oct / 11 / 1998","TKO (Punches)Yuji Shimada","2","1:26"
"3110","Akira Shoji","draw","Adriano de Souza","GCM - Vale TudoAug / 29 / 1998","DrawN/A","3","5:00"
"324","Akira Shoji","draw","Daijiro Matsui","Pride FC - Pride 3Jun / 24 / 1998","Draw (Time Limit)Yuji Shimada","4","10:00"
"333","Akira Shoji","win","Juan Mott","Pride FC - Pride 2Mar / 15 / 1998","Submission (Rear-Naked Choke)Takumi Adachi","1","3:47"
"343","Akira Shoji","draw","Renzo Gracie","Pride FC - Pride 1Oct / 11 / 1997","Draw (Time Limit)Yuji Shimada","3","10:00"
"353","Akira Shoji","loss","Kaichi Tsuji","Lumax Cup - Tournament of J '97 Heavyweight TournamentJul / 27 / 1997","Decision (Unanimous)N/A","2","3:00"
"363","Akira Shoji","win","Vidal Serradilla","JECVTO - Japan Extreme Challenge Vale Tudo OpenMay / 28 / 1997","TKO (Submission to Punches)N/A","1","2:16"
"372","Akira Shoji","draw","Manabu Ohara","KP X WK - Koppo vs. KeisyukaiNov / 30 / 1996","DrawN/A","1","20:00"
"226","Ricardo Almeida","loss","Mike Pyle","UFC 128 - Shogun vs. JonesMar / 19 / 2011","Decision (Unanimous)Kevin MacDonald","3","5:00"
"325","Ricardo Almeida","win","T.J. Grant","UFC 124 - St. Pierre vs. Koscheck 2Dec / 11 / 2010","Decision (Unanimous)Philippe Chartier","3","5:00"
"418","Ricardo Almeida","loss","Matt Hughes","UFC 117 - Silva vs. SonnenAug / 07 / 2010","Technical Submission (Anaconda Choke)Josh Rosenthal","1","3:15"
"514","Ricardo Almeida","win","Matt Brown","UFC 111 - St. Pierre vs. HardyMar / 27 / 2010","Submission (Rear-Naked Choke)Dan Miragliotta","2","3:30"
"614","Ricardo Almeida","win","Kendall Grove","UFC 101 - DeclarationAug / 08 / 2009","Decision (Unanimous)N/A","3","5:00"
"714","Ricardo Almeida","win","Matt Horwich","UFC Fight Night 18 - Condit vs. KampmannApr / 01 / 2009","Decision (Unanimous)Dan Miragliotta","3","5:00"
"89","Ricardo Almeida","loss","Patrick Cote","UFC 86 - Jackson vs. GriffinJul / 05 / 2008","Decision (Split)Herb Dean","3","5:00"
"98","Ricardo Almeida","win","Rob Yundt","UFC 81 - Breaking PointFeb / 02 / 2008","Submission (Guillotine Choke)Herb Dean","1","1:08"
"108","Ricardo Almeida","win","Ryo Chonan","Pride - Bushido 3May / 23 / 2004","Decision (Unanimous)N/A","2","5:00"
"117","Ricardo Almeida","win","Nate Marquardt","Pancrase - Hybrid 10Nov / 30 / 2003","Submission (Guillotine Choke)Soichi Hiroto","1","4:53"
"127","Ricardo Almeida","win","Kazuo Misaki","Pancrase - 10th Anniversary ShowAug / 31 / 2003","Decision (Majority)Kenji Kosuge","3","5:00"
"137","Ricardo Almeida","win","Yuki Sasaki","Pancrase - Hybrid 4Apr / 12 / 2003","Decision (Unanimous)Yoshinori Umeki","3","5:00"
"147","Ricardo Almeida","win","Ikuhisa Minowa","Pancrase - Hybrid 2Feb / 16 / 2003","Decision (Unanimous)Soichi Hiroto","3","5:00"
"157","Ricardo Almeida","win","Osami Shibuya","Pancrase - Spirit 8Nov / 30 / 2002","Submission (Rear-Naked Choke)Hiromi Okamoto","1","3:25"
"167","Ricardo Almeida","loss","Andrei Semenov","UFC 35 - ThrowdownJan / 11 / 2002","TKO (Punches)N/A","2","2:01"
"176","Ricardo Almeida","win","Eugene Jackson","UFC 33 - Victory in VegasSep / 28 / 2001","Submission (Triangle Choke)N/A","1","4:06"
"186","Ricardo Almeida","loss","Matt Lindland","UFC 31 - Locked & LoadedMay / 04 / 2001","Disqualification (Repeated Fouls)N/A","3","4:21"
"196","Ricardo Almeida","win","Akira Shoji","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"227","Enson Inoue","win","Antz Nansen","Astra - Yoshida's FarewellApr / 25 / 2010","Submission (Armbar)Ryogaku Wada","1","2:10"
"326","Enson Inoue","loss","Tommy Sauer","SB 35 - SuperBrawl 35Apr / 16 / 2004","TKO (Punches)N/A","1","4:14"
"419","Enson Inoue","win","Soichi Nishida","FFCF 1 - Fury Full Contact Fighting 1Jan / 10 / 2004","Submission (Choke)N/A","0","0:00"
"515","Enson Inoue","loss","Antonio Rodrigo Nogueira","Pride 19 - Bad BloodFeb / 24 / 2002","Technical Submission  (Triangle Choke)N/A","1","6:17"
"615","Enson Inoue","loss","Heath Herring","Pride 12 - Cold FuryDec / 23 / 2000","TKO (Knees)N/A","1","4:52"
"715","Enson Inoue","loss","Igor Vovchanchyn","Pride 10 - Return of the WarriorsAug / 27 / 2000","TKO (Doctor Stoppage)N/A","1","10:00"
"810","Enson Inoue","loss","Mark Kerr","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Keiji Shiozaki","1","15:00"
"99","Enson Inoue","win","Soichi Nishida","Pride FC - Pride 5Apr / 29 / 1999","Submission (Rear-Naked Choke)Yuji Shimada","1","0:24"
"109","Enson Inoue","win","Randy Couture","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","Submission (Armbar)N/A","1","1:39"
"118","Enson Inoue","loss","Frank Shamrock","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Disqualification  (Egan Inoue Ran Into the Ring)N/A","2","7:17"
"128","Enson Inoue","win","Joe Estes","Shooto - Reconquista 4Oct / 12 / 1997","TKO (Submission to Punches)N/A","1","1:06"
"138","Enson Inoue","win","Royce Alger","UFC 13 - The Ultimate ForceMay / 30 / 1997","Submission (Armlock)John McCarthy","1","1:36"
"148","Enson Inoue","win","Casemiro Nascimento Martins","Shooto - Reconquista 2Apr / 06 / 1997","TKO (Elbows)N/A","1","0:45"
"158","Enson Inoue","win","Mushtaq Abdullah","Shooto - Let's Get LostOct / 04 / 1996","TKO (Submission to Punches)N/A","1","0:38"
"168","Enson Inoue","loss","Igor Zinoviev","VTJ 1996 - Vale Tudo Japan 1996Jul / 07 / 1996","TKO (Punches)N/A","1","0:44"
"177","Enson Inoue","loss","Joe Estes","Shooto - Vale Tudo Junction 3May / 07 / 1996","Decision (Majority)N/A","3","8:00"
"187","Enson Inoue","win","Andre Mannaart","Shooto - Vale Tudo Junction 1Jan / 20 / 1996","TKO (Punches)N/A","1","3:20"
"197","Enson Inoue","win","Ed de Kruijf","Shooto - Complete Vale Tudo AccessJul / 29 / 1995","Technical Submission (Armbar)N/A","1","1:40"
"205","Enson Inoue","win","Rene Rooze","VTJ 1995 - Vale Tudo Japan 1995Apr / 20 / 1995","Submission (Rear-Naked Choke)N/A","1","6:41"
"2111","Enson Inoue","win","Shingo Shigeta","Shooto - Vale Tudo Access 3Jan / 21 / 1995","TKO (Punches)N/A","1","1:10"
"228","Heath Herring","loss","Satoshi Ishii","Rizin 5 - Rizin 2017 in Yokohama: SakuraApr / 16 / 2017","Decision (Unanimous)Ryogaku Wada","2","5:00"
"327","Heath Herring","loss","Amir Aliakbari","Rizin 3 - Rizin Fighting World Grand Prix 2016: 2nd RoundDec / 29 / 2016","Decision (Unanimous)Ryogaku Wada","2","5:00"
"420","Heath Herring","loss","Brock Lesnar","UFC 87 - Seek and DestroyAug / 09 / 2008","Decision (Unanimous)Dan Miragliotta","3","5:00"
"516","Heath Herring","win","Cheick Kongo","UFC 82 - Pride of a ChampionMar / 01 / 2008","Decision (Split)Dan Miragliotta","3","5:00"
"616","Heath Herring","loss","Antonio Rodrigo Nogueira","UFC 73 - StackedJul / 07 / 2007","Decision (Unanimous)Yves Lavigne","3","5:00"
"716","Heath Herring","win","Brad Imes","UFC 69 - ShootoutApr / 07 / 2007","Decision (Unanimous)Kerry Hatley","3","5:00"
"812","Heath Herring","loss","Jake O'Brien","UFC Fight Night 8 - Evans vs. SalmonJan / 25 / 2007","Decision (Unanimous)John McCarthy","3","5:00"
"910","Heath Herring","win","Gary Goodridge","K-1 - Hero's 4Mar / 15 / 2006","TKO (Punches)N/A","2","1:55"
"1010","Heath Herring","NC","Yoshihiro Nakao","K-1 - Premium 2005 Dynamite!!Dec / 31 / 2005","No Contest  (Nakao KO'd Prior to Bout)N/A","1","0:00"
"119","Heath Herring","loss","Sam Greco","K-1 - Hero's 1Mar / 26 / 2005","TKO (Knee Injury)N/A","1","2:24"
"129","Heath Herring","win","Hirotaka Yokoi","Pride 28 - High OctaneOct / 31 / 2004","KO (Knees)N/A","1","1:55"
"139","Heath Herring","loss","Antonio Rodrigo Nogueira","Pride FC - Critical Countdown 2004Jun / 20 / 2004","Submission (Anaconda Choke)N/A","2","0:30"
"149","Heath Herring","win","Kazuo Takahashi","Pride FC - Total Elimination 2004Apr / 25 / 2004","TKO (Punches)N/A","1","4:53"
"159","Heath Herring","win","Gan McGee","Pride 27 - InfernoFeb / 01 / 2004","Decision (Split)N/A","3","5:00"
"169","Heath Herring","win","Paulo Cesar Silva","Pride FC - Shockwave 2003Dec / 31 / 2003","Submission (Rear-Naked Choke)N/A","3","0:35"
"178","Heath Herring","win","Yoshihisa Yamamoto","Pride FC - Final Conflict 2003Nov / 09 / 2003","Submission (Rear-Naked Choke)N/A","3","2:29"
"188","Heath Herring","loss","Mirko Filipovic","Pride 26 - Bad to the BoneJun / 08 / 2003","TKO  (Kick to the Body and Punches)N/A","1","3:17"
"198","Heath Herring","loss","Fedor Emelianenko","Pride 23 - Championship Chaos 2Nov / 24 / 2002","TKO (Doctor Stoppage)N/A","1","10:00"
"206","Heath Herring","win","Yuriy Kochkine","Pride 22 - Beasts From The East 2Sep / 29 / 2002","TKO (Knees)N/A","1","7:31"
"2112","Heath Herring","win","Igor Vovchanchyn","Pride 19 - Bad BloodFeb / 24 / 2002","Decision (Unanimous)N/A","3","5:00"
"229","Heath Herring","loss","Antonio Rodrigo Nogueira","Pride 17 - Championship ChaosNov / 03 / 2001","Decision (Unanimous)N/A","3","5:00"
"235","Heath Herring","win","Mark Kerr","Pride 15 - Raging RumbleJul / 29 / 2001","TKO (Knees)N/A","2","4:56"
"245","Heath Herring","loss","Vitor Belfort","Pride 14 - Clash of the TitansMay / 27 / 2001","Decision (Unanimous)N/A","3","5:00"
"255","Heath Herring","win","Denis Sobolev","Pride 13 - Collision CourseMar / 25 / 2001","Submission (Keylock)N/A","1","0:22"
"265","Heath Herring","win","Enson Inoue","Pride 12 - Cold FuryDec / 23 / 2000","TKO (Knees)N/A","1","4:52"
"275","Heath Herring","win","Tom Erikson","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Rear-Naked Choke)N/A","1","6:17"
"285","Heath Herring","win","Willie Peeters","Pride 9 - New BloodJun / 04 / 2000","Submission (Rear-Naked Choke)Yuichi Watanabe","1","0:48"
"295","Heath Herring","loss","Ramazan Mezhidov","IAFC - Pankration World Championship 2000 [Day 2]Apr / 29 / 2000","TKO (Cut)N/A","1","4:55"
